"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Wed Feb 07 11:27:53 +0000 2024","1.76E+18","@markieefiance Indonesia nolak Rohingya, gw pikir karena warga kita sangat peduli pada sesama Indonesia ðŸ¥¹  Ternyata sesama Indonesia pun kek gitu? Mana kepedulian kalian terhadap warga indo kemaren waktu nolak Rohingya","0","4","2","68","in","8.70E+17","1.76E+18","teolaegiu","https://twitter.com/teolaegiu/status/1755191650291429594"
"Wed Feb 07 11:27:46 +0000 2024","1.76E+18","@2And1__131722 @CurrySalty @kegblgnunfaedh Mana mirip Rohingya lagi mukaknya","0","0","0","0","in","1.73E+18","1.76E+18","Sagaraa26_","https://twitter.com/Sagaraa26_/status/1755191620738412791"
"Wed Feb 07 11:27:06 +0000 2024","1.76E+18","Orang Papua ga salah apa-apa lu benturin dengan Rohingya? Emang temen2 lu yang sebenernya ga pengen Indonesia damai","0","0","0","0","in","97671645","1.76E+18","antropolohis","https://twitter.com/antropolohis/status/1755191450873254208"
"Wed Feb 07 11:23:43 +0000 2024","1.76E+18","Apa yg diharapkan dari pendukung rasis yg pake emoji semangka tapi mengharapkan rohingya musnah","0","0","0","7","in","1.40E+18","1.76E+18","juneisacat","https://twitter.com/juneisacat/status/1755190597886038458"
"Wed Feb 07 11:18:49 +0000 2024","1.76E+18","@ScariestProject 16 tahun??what umur 16 tahun mukaknya kek bapakÂ²?mana mirip org Rohingya lagi","0","0","0","0","in","1.73E+18","1.76E+18","Sagaraa26_","https://twitter.com/Sagaraa26_/status/1755189367235359198"
"Wed Feb 07 11:18:42 +0000 2024","1.76E+18","Tujuh lagi lelaki etnik Rohingya yang merusuh dan meloloskan diri dari Blok Lelaki Depot Imigresen Sementara Bidor Khamis lalu berjaya ditahan pada hari ketujuh Op Kesan sekitar jam 3 petang tadi di Ladang Sawit Felcra Jalan Karchu, Tapah.   Video: Firdaus Nazmi  #malaysiagazetteâ€¦ https://t.co/URbgTVZV3I","0","0","3","5","in","1600369057","1.76E+18","MalaysiaGazette","https://twitter.com/MalaysiaGazette/status/1755189336944079011"
"Wed Feb 07 11:18:26 +0000 2024","1.76E+18","@hmetromy Skrng oku mcm kad Rohingya","0","0","0","1","in","1.63E+18","1.76E+18","Mfranciss75","https://twitter.com/Mfranciss75/status/1755189271349404042"
"Wed Feb 07 11:09:04 +0000 2024","1.76E+18","@markieefiance @partaimedsos45 Rasisnya prah ya pendukung 02 ini,,, inget pengungsi rohingya jg mereka katain","0","0","0","0","in","8.42E+17","1.76E+18","FeyFeyi0402","https://twitter.com/FeyFeyi0402/status/1755186911055130971"
"Wed Feb 07 11:08:58 +0000 2024","1.76E+18","di-compare ama rohingya ajg gak ada akal budinya ini orangg","0","0","0","0","in","1.01E+18","1.76E+18","nabilpaissss","https://twitter.com/nabilpaissss/status/1755186889773183460"
"Wed Feb 07 11:07:39 +0000 2024","1.76E+18","Tujuh lagi lelaki etnik Rohingya yang merusuh dan meloloskan diri dari Blok Lelaki Depot Imigresen Sementara Bidor Khamis lalu berjaya ditahan pada hari ketujuh Op Kesan sekitar jam 3 petang tadi di Ladang Sawit Felcra Jalan Karchu, Tapah.   Video: Firdaus Nazmi  #mgperak #PATI https://t.co/MaCJ0ZgCcd","0","0","0","0","in","1.68E+18","1.76E+18","MgPerak","https://twitter.com/MgPerak/status/1755186554971336730"
